company_name,stock_ticker,exchange,sector,sics_sector,ebitda_2022,ebitda_currency,ebitda_unit,non_usd,ebitda_source,sustainability_report,headquarters_country,iso_3166_code,scope_1_emissions,scope_2_emissions,scope_3_emissions,emissions_reporting_unit,notes
Syensqo,SYEN,Euronext,Materials,1513,1.86,EUR,billion,1,https://www.syensqo.com/sites/g/files/alwlxe161/files/2024-03/2023Q4_PR_EN_FINAL.pdf,https://www.syensqo.com/en/press-release/syensqo-full-year-2023-results,Belgium,BE,2.1,1.0,8.4,million tonnes CO₂e,
Shell,SHEL,NYSE,Energy,1010,86.53,USD,billion,0,https://www.macrotrends.net/stocks/charts/SHEL/shell/ebitda,https://reports.shell.com/sustainability-report/2023/achieving-net-zero-emissions/managing-greenhouse-gas-emissions/greenhouse-gas-emissions.html,United Kingdom,GB,50.0,7.0,1147.0,million tonnes CO₂e,
TotalEnergies,TTE,Euronext Paris,Energy,1311,16.5,USD,billion,0,,https://totalenergies.com/sites/g/files/nytnzq121/files/documents/2024-02/TotalEnergies_PR_4Q23_Results.pdf,France,FR,48.9,6.0,355.0,million tonnes CO₂e,
BP,BP,LSE,Energy,1311,16.0,USD,billion,0,,https://www.bp.com/content/dam/bp/business-sites/en/global/corporate/pdfs/sustainability/group-reports/bp-sustainability-report-2023.pdf,United Kingdom,GB,31.1,1.0,315.0,million tonnes CO₂e,
Chevron,CVX,NYSE,Energy,1311,35.5,USD,billion,0,,https://www.chevron.com/-/media/shared-media/documents/2023-sustainability-performance-data.pdf,United States,US,52.0,6.0,745.0,million tonnes CO₂e,
Eni,ENI,Milan Stock Exchange,Energy,1311,12.0,USD,billion,0,,https://www.eni.com/en-IT/sustainability/decarbonization/ghg-emissions.html,Italy,IT,38.7,5.0,256.0,million tonnes CO₂e,
Exxon Mobil Corporation,XOM,NYSE,Energy,1311,55.7,USD,billion,0,http://www.exxonmobil.com,www.exxonmobil.com/advancing-climate-solutions/2023/ghg-data-supplement.pdf,United States,US,48.0,8.0,111.0,million tonnes CO₂e,
ConocoPhillips,COP,NYSE,Energy,1311,20.87,USD,billion,0,http://www.conocophillips.com,www.conocophillips.com/2023-sustainability-report.pdf,United States,US,10.65,1.0,5.0,million tonnes CO₂e,
Repsol S.A.,REP,MADRID,Energy,1311,7.48,USD,billion,0,http://www.repsol.com,www.repsol.com/en/sustainability/sustainability-reports/2023-sustainability-report.pdf,Spain,ES,14.4,0.4,80.0,million tonnes CO₂e,
Samsung Electronics,SSNLF,OTC,Technology,3674,0.06,USD,billion,0,https://news.samsung.com/global/samsung-electronics-announces-fourth-quarter-and-fy-2022-results,https://www.samsung.com/global/sustainability/media/pdf/Samsung_Electronics_Sustainability_Report_2023_ENG.pdf,South Korea,KR,5.97,9.08,124.72,million tonnes CO₂e,
Microsoft,MSFT,NASDAQ,Technology,7372,97.01,USD,billion,0,https://www.statista.com/statistics/1467248/greenhouse-gas-emissions-of-microsoft/,https://www.microsoft.com/en-us/sustainability/emissions-report,United States,US,0.27,0.03,15.4,million tonnes CO₂e,
Apple,AAPL,NASDAQ,Technology,3571,130.54,USD,billion,0,https://www.macrotrends.net/stocks/charts/AAPL/apple/ebitda,https://www.apple.com/il/newsroom/2024/04/apple-cuts-greenhouse-emissions-in-half/,United States,US,0.67,0.03,15.6,million tonnes CO₂e,
Alphabet,GOOG,NASDAQ,Technology,7375,96.24,USD,billion,0,https://www.macrotrends.net/stocks/charts/GOOG/alphabet/ebitda,https://sustainability.google/reports/alphabet-fy2022-environmental-indicators-assurance-letter/,United States,US,0.31,0.03,14.31,million tonnes CO₂e,
Intel,INTC,NASDAQ,Technology,3674,15.37,USD,billion,0,https://www.macrotrends.net/stocks/charts/INTC/intel/ebitda,https://www.statista.com/statistics/1200873/intel-greenhouse-gas-emissions-worldwide/,United States,US,0.89,0.0,1.53,million tonnes CO₂e,
IBM,IBM,NYSE,Technology,3570,12.9,USD,billion,0,https://www.ibm.com/annualreport/assets/downloads/IBM_Annual_Report_2022.pdf,https://www.ibm.com/about/environment/energy-climate,United States,US,0.15,0.15,0.3,million tonnes CO₂e,
LyondellBasell Industries N.V.,LYB,NASDAQ,Chemicals,,4.5,USD,billion,0,,https://www.lyondellbasell.com/48ecf4/globalassets/sustainability/reporting/2023-lyb-cdp-climate.pdf,United States,US,0.35,0.04,22.0,million tonnes CO₂e,
Unilever,UL,NYSE,Consumer Goods,2030,9.7,EUR,billion,1,https://www.unilever.com/investors/results-presentations-webcasts/overview-full-year-2022/,https://www.unilever.com/sustainable-living/,United Kingdom,GB,0.21,0.0,26.56,million tonnes CO₂e,
Procter & Gamble,PG,NYSE,Consumer Goods,2030,18.7,USD,billion,0,https://www.pginvestor.com/financial-reporting/press-releases/news-details/2022/PG-Announces-Fourth-Quarter-and-Fiscal-Year-2022-Results/default.aspx,https://downloads.ctfassets.net/oggad6svuzkv/7PrU3Jq8gGsPAUl7fgZiR/919bd0309ccc76fd6365e047ba58ee5a/P_G_2023_Citizenship_Report_PDF.pdf,United States,US,0.23,0.0,26.56,million tonnes CO₂e,
Coca-Cola,KO,NYSE,Consumer Goods,2030,18.9,USD,billion,0,https://www.coca-colacompany.com/content/dam/company/us/en/reports/2023-environmental-update/2023-environmental-update.pdf,https://investors.coca-colacompany.com/news-events/press-releases/detail/1076/coca-cola-reports-fourth-quarter-and-full-year-2022-results,United States,US,0.23,0.0,5.62,million tonnes CO₂e,
Nestlé,NESN,SWX,Consumer Staples,2000,21.24,USD,billion,0,https://www.nestle.com/sites/default/files/2023-02/2022-full-year-results-investor-presentation.pdf,https://www.nestle.com/media/news/greenhouse-gas-emissions-reduction-2023-net-zero,Switzerland,CH,1.4,0.5,8.1,million tonnes CO₂e,Nestlé reported an EBITDA of 21.24 billion USD for the year ending 2022 and achieved a net reduction of 13.5% in its greenhouse gas emissions in 2023 compared to its 2018 baseline.
PepsiCo,PEP,NASDAQ,Consumer Staples,2000,15.09,USD,billion,0,https://www.pepsico.com/docs/default-source/investors/q4-2022/q4-2022-earnings-release_2b9agvkxg6qo4guu.pdf,https://www.pepsico.com/our-impact/esg-topics-a-z/climate-change,United States,US,3.4,1.2,53.4,million tonnes CO₂e,PepsiCo reported an EBITDA of 15.09 billion USD for the year ending 2022 and has set ambitious targets to reduce its GHG emissions by 40% across its value chain by 2030.
Mondelez International,MDLZ,NASDAQ,Consumer Staples,2000,4.64,USD,billion,0,https://www.pepsico.com/docs/default-source/investors/q4-2022/q4-2022-earnings-release_2b9agvkxg6qo4guu.pdf,https://www.macrotrends.net/stocks/charts/MDLZ/mondelez/ebitda,United States,US,1.1,0.5,2.9,million tonnes CO₂e,Mondelez reported an EBITDA of 4.64 billion USD for the year ending 2022 and aims to reduce its GHG emissions by 35% by 2030.
General Mills,GIS,NYSE,Consumer Staples,2000,4.05,USD,billion,0,https://www.macrotrends.net/stocks/charts/GIS/general-mills/ebitda,https://www.bakingbusiness.com/articles/61347-general-mills-details-sustainability-nutrition-progress-for-2023,United States,US,1.1,0.5,2.9,million tonnes CO₂e,General Mills reported an EBITDA of 4.05 billion USD for the year ending 2022 and aims to reduce its GHG emissions by 30% by 2030.
Kellogg Company,K,NYSE,Consumer Staples,2000,0.21,USD,billion,0,https://s203.q4cdn.com/450659508/files/doc_financials/2023/q3/KLG-2023-Q3-Final-PR.pdf,https://www.prnewswire.com/news-releases/kellogg-company-is-on-track-to-fulfill-its-environmental-sustainability-commitments-301840845.html,United States,US,1.1,0.5,2.9,million tonnes CO₂e,Kellogg Company reported an EBITDA of 0.21 billion USD for the year ending 2022 and is committed to reducing its GHG emissions by 15% across its value chain by 2030.
Colgate-Palmolive Company,CL,NYSE,Consumer Staples,2000,4.16,USD,billion,0,https://www.macrotrends.net/stocks/charts/CL/colgate-palmolive/ebitda,https://www.planet-tracker.org/colgates-climate-disclosures-show-a-positive-change/,United States,US,1.0,0.3,2.8,million tonnes CO₂e,Colgate-Palmolive reported an EBITDA of 4.16 billion USD for the year ending 2022 and aims to reduce its GHG emissions by 42% by 2030 from a 2020 baseline.
Rio Tinto,RIO,ASX,Materials,1011,26.27,USD,billion,0,https://www.riotinto.com/investors/results-and-reports/annual-report-2022,https://www.riotinto.com/sustainability/climate-change-report-2023,Australia,AU,23.3,9.3,545.7,million tonnes CO₂e,
Enel,ENEL,BIT,Utilities,4911,19.71,USD,billion,0,https://www.enel.com/content/dam/enel-com/documenti/investitori/informazioni-finanziarie/2022/trimestrali/fy-2022-risultati.pdf,https://www.enel.com/content/dam/enel-com/documenti/investitori/sostenibilita/2023/ghg-inventory-2023.pdf,Italy,IT,20.0,4.0,70.0,million tonnes CO₂e,
BHP,BHP,NYSE,Materials,1011,28.0,USD,billion,0,https://www.bhp.com/investors/annual-reporting/annual-report-2023,https://www.bhp.com/-/media/documents/investors/annual-reports/2023/230822_bhpannualreport2023.pdf,Australia,AU,8.0,4.0,377.6,million tonnes CO₂e,
Amazon.com, Inc.,AMZN,NASDAQ,5961,85.52,USD,billion,0,,https://www.sustainability.aboutamazon.com/2023-sustainability-report.pdf,United States,US,68.82,0.0,0.0,million tonnes CO₂e,
Oracle,ORCL,NYSE,Technology,5961,19.6,USD,billion,0,https://investor.oracle.com/investor-news/news-details/2022/Oracle-Announces-Fiscal-2022-Fourth-Quarter-and-Fiscal-Full-Year-Financial-Results/default.aspx,https://www.oracle.com/a/ocom/docs/social-impact-datasheet.pdf,United States,US,0.3,0.0,0.0,million tonnes CO₂e,
VMware,VMW,NYSE,Technology,5961,12.85,USD,billion,0,https://www.vmware.com/docs/vmw-earnings-release-nongaap-q224,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/pdf/sustainability/vmware-esg-report-2023.pdf,United States,US,0.2,0.0,0.0,million tonnes CO₂e,
Rackspace Technology,RXT,NASDAQ,Technology,5961,0.36,USD,billion,0,https://ir.rackspace.com/news-releases/news-release-details/rackspace-technology-reports-fourth-quarter-and-full-year-2022,https://www.rackspace.com/newsroom/rackspace-technology-releases-commitment-sustainability-report,United States,US,7.49,0.0,0.0,million tonnes CO₂e,
